,Name,Price,Cuisine,Award,City,Country,Price Level,City Population,,PERCANTAGE OF AWARDS,,,PERCENTAGE OF PRICE LEVEL,
282,La Voile - La R√©serve Ramatuelle,€,Modern Cuisine,2,Ramatuelle,France,4,2330,,,,,,
283,L'Oiseau Blanc,€,Creative,2,Paris,France,4,5073,,,,,,
284,La Fourchette des Ducs,€,Creative,2,Obernai,France,4,12138,,,,,,
285,Anne de Bretagne,€,Creative,2,La Plaine-sur-Mer,France,4,2711,,,,,,
286,La Sc√®ne,€,Modern Cuisine,2,Paris,France,4,5073,,,,,,
287,Flaveur,€,Creative,2,Nice,France,4,2731,,,,,,
288,Duende,€,Modern Cuisine,2,N√Æmes,France,4,148236,,,,,,
289,La Grenouill√®re,€,Creative,2,La Madelaine-sous-Montreuil,France,4,,,,,,,
290,Restaurant Le Meurice Alain Ducasse,€,Creative,2,Paris,France,4,5073,,,,,,
291,Jean Sulpice,€,Creative,2,Talloires-Montmin,France,4,,,,,,,
292,Michel Kayser - Restaurant Alexandre,€,Modern Cuisine,2,Garons,France,4,4019,,,,,,
293,Bras,€,Creative,2,Laguiole,France,4,1317,,,,,,
294,La Pyramide - Patrick Henriroux,€,Modern Cuisine,2,Vienne,France,4,32293,,,,,,
295,Py-r,€,Modern Cuisine,2,Toulouse,France,4,493465,,,,,,
296,Mraz & Sohn,€,Creative,2,Vienna,Austria,4,10573,,,,,,
297,Silvio Nickol Gourmet Restaurant,€,Modern Cuisine,2,Vienna,Austria,4,10573,,,,,,
298,Konstantin Filippou,€,Modern Cuisine,2,Vienna,Austria,4,10573,,,,,,
299,SENNS.Restaurant,€,Creative,2,Salzburg,Austria,4,157245,,,,,,
300,Mezzaluna,_,French Contemporary,2,Bangkok,Thailand,4,5104476,,,,,,
301,R-Haan,_,Thai,2,Bangkok,Thailand,4,5104476,,,,,,
302,Le Normandie by Alain Roux,_,French,2,Bangkok,Thailand,4,5104476,,,,,,
303,Sorn,_,Southern Thai,2,Bangkok,Thailand,4,5104476,,,,,,
304,Chef's Table,_,French Contemporary,2,Bangkok,Thailand,4,5104476,,,,,,
305,S√ºhring,_,European Contemporary,2,Bangkok,Thailand,4,5104476,,,,,,
306,Moments,€,Creative,2,Barcelona,Spain,4,2255,,,,,,
307,Disfrutar,€,Creative,2,Barcelona,Spain,4,2255,,,,,,
308,Angle,€,Modern Cuisine,2,Barcelona,Spain,4,2255,,,,,,
309,Bo.TiC,€,Creative,2,Cor√ß√†,Spain,4,0,,,,,,
310,Noor,€,Creative,2,C√≥rdoba,Spain,4,3784,,,,,,
311,Enoteca Paco P√©rez,€,Modern Cuisine,2,Barcelona,Spain,4,2255,,,,,,
312,Casa Marcial,€,Creative,2,Arriondas,Spain,4,,,,,,,
313,Cinc Sentits,€,Creative,2,Barcelona,Spain,4,2255,,,,,,
314,Alma,€,Creative,2,Lisbon,Portugal,4,4234,,,,,,
315,Mugaritz,€,Creative,2,Errenteria,Spain,4,38767,,,,,,
316,Iv√°n Cerde√±o,€,Modern Cuisine,2,Toledo,Spain,4,2202,,,,,,
317,Bardal,€,Creative,2,Ronda,Spain,4,36827,,,,,,
318,Smoked Room,€,Contemporary,2,Madrid,Spain,4,85090,,,,,,
